x	y	z	fill	pf
0.6894615088518674	0.5993397458796933	0.4067366430758002	1.0	0.5
0.43852114858830876	0.8606462131056	0.25881904510252074	1.0	0.5
0.6825505966372545	0.34777689955428764	0.6427876096865394	1.0	0.5
0.6620988446058653	0.44659130967818644	0.6018150231520484	1.0	0.5
0.7646550456261504	0.4414737964294636	0.46947156278589086	1.0	0.5
0.43838009567471314	0.470105097699189	0.766044443118978	1.0	0.5
0.23504036788339755	0.424024048078213	0.8746197071393957	1.0	0.5
0.28678821817552297	0.49673176489215404	0.8191520442889918	1.0	0.5
0.2387540383656339	0.4895183220536299	0.838670567945424	1.0	0.5
0.46684677150083403	0.7188809869040866	0.5150380749100542	1.0	0.5
0.6754570505933112	0.5277248849511746	0.5150380749100542	1.0	0.5
0.34777689955428764	0.2918194681479807	0.8910065241883679	1.0	0.5
0.5839385449731223	0.7749126222511389	0.24192189559966767	1.0	0.5
0.7082593737614415	0.5533528685584632	0.43837114678907746	1.0	0.5
0.5656294206902575	0.6984941632629674	0.43837114678907746	1.0	0.5
0.5443072556305502	0.8381596724955521	0.03489949670250108	1.0	0.5
0.5155270860898133	0.7362489804207374	0.43837114678907746	1.0	0.5
0.7540334324835053	0.3200682026693333	0.573576436351046	1.0	0.5
0.40224971153343775	0.5963597219149838	0.6946583704589973	1.0	0.5
0.6409364552100961	0.3265734354382901	0.6946583704589973	1.0	0.5
0.9330127018922194	0.24999999999999997	0.25881904510252074	1.0	0.5
0.5566703992264194	0.6634139481689384	0.5000000000000001	1.0	0.5
0.7792918652449212	0.43196853462877144	0.4539904997395468	1.0	0.5
0.3954090940355596	0.5862180894121044	0.7071067811865476	1.0	0.5
0.57348907788161	0.8190272834649945	0.0174524064372836	1.0	0.5
0.3892095647956368	0.7319967290770821	0.5591929034707468	1.0	0.5
0.4749541281548535	0.5865195023430131	0.6560590289905073	1.0	0.5
0.7600936664873876	0.4936105985582457	0.42261826174069944	1.0	0.5
0.4916891163631759	0.3705143250269353	0.7880107536067219	1.0	0.5
0.6924421219048029	0.5607285742301802	0.4539904997395468	1.0	0.5
